# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
7880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8000.0,0,0.1986,0.2158,0.2209,12.0026,4.8196,0.2043
8040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8080.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8160.0,0,0.1986,0.2295,0.2270,12.0026,4.8242,0.2104
8200.0,0,0.2016,0.2204,0.2286,12.0026,4.8248,0.2073
8240.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8360.0,0,0.1467,0.1655,0.1736,12.0034,4.8276,0.1539
8400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8520.0,0,0.1955,0.2234,0.2240,12.0026,4.8294,0.2104
8560.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8680.0,0,0.2459,0.2768,0.2743,12.0008,4.8306,0.2531
8720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8880.0,0,0.1299,0.1456,0.1523,12.0052,4.8291,0.1371
8920.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
8960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9040.0,0,0.1376,0.1517,0.1538,12.0069,4.8260,0.1463
9080.0,0,0.1482,0.1532,0.1553,12.0069,4.8248,0.1493
9120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9240.0,0,0.0674,0.0800,0.0775,12.0069,4.8285,0.0669
9280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9400.0,0,0.0872,0.1014,0.1034,12.0069,4.8322,0.0959
9440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9560.0,0,0.1513,0.1685,0.1767,12.0060,4.8325,0.1661
9600.0,0,0.1833,0.2066,0.2102,12.0060,4.8328,0.1997
9640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9760.0,0,0.2230,0.2662,0.2606,12.0026,4.8340,0.2409
9800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
9920.0,0,0.1055,0.1227,0.1202,12.0034,4.8340,0.1158
9960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10080.0,0,0.0918,0.1059,0.1080,12.0060,4.8337,0.1020
10120.0,0,0.1009,0.1136,0.1156,12.0069,4.8331,0.1036
10160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10280.0,0,-0.0105,-0.0024,-0.0080,12.0078,4.8328,-0.0048
10320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10440.0,0,0.0780,0.0937,0.0912,12.0060,4.8340,0.0852
10480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10600.0,0,0.2230,0.2524,0.2591,12.0043,4.8340,0.2333
10640.0,0,0.1955,0.2189,0.2225,12.0043,4.8337,0.1936
10680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10800.0,0,0.1574,0.1807,0.1874,12.0060,4.8340,0.1631
10840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
10960.0,0,0.1543,0.1777,0.1767,12.0078,4.8334,0.1600
11000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
11120.0,0,0.2200,0.2433,0.2499,12.0069,4.8325,0.2302
